antojo;m
argumento;m
ascenso;m
asesinato;m
aullido;m
balada;f
berrido;m
boceto;m
bosquejo;m
caída;f
cabezonería;f
calamidad;f
canción;f
canto;m
circuncisión;f
conjetura;f
desafío;m
desaparición;f
descenso;m
desengaño;m
despertar;m
dolor;m
drama;m
embrollo;m
empecinamiento;m
encanto;m
engaño;m
entierro;m
error;m
estigma;m
evolución;f
fatalidad;f
frustración;f
furia;f
gramola;f
gratitud;f
grito;m
hermosura;f
ineptitud;f
insumisión;f
intromisión;f
jarana;f
jeroglífico;m
jilguero;m
jolgorio;m
joroba;f
juego;m
jurisdicción;f
levedad;f
lío;m
maldición;f
malestar;m
movida;f
movidón;m
negación;f
obsesión;f
oreja;f
pasión;f
preocupación;f
presentimiento;m
redención;f
reto;m
reventón;m
salto;m
secreto;m
sentimiento;m
señal;f
silbido;m
simultaneidad;f
solución;f
sonrisa;f
sospecha;f
sueño;m
tango;m
teorema;m
teoría;f
terquedad;f
traición;f
trampa;f
trapicheo;m
ubicación;f
ulular;m
ultimátum;m
unanimidad;f
ungüento;m
vacío;m
vanidad;f
vida;f
